epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46431,2.12246,3.77796,1.80695,0.00619,0.67407,0.10008,0.04584,1.44659,3.57845,1.27671,0.00018577,0.00018577,0.00018577
2,9.89623,1.72135,2.25797,1.39857,0.01336,0.88148,0.24377,0.10576,1.49044,3.06615,1.17979,0.00038201,0.00038201,0.00038201
3,12.8309,1.57522,2.14013,1.36411,0.88943,0.14074,0.23303,0.11223,1.50541,2.85144,1.24683,0.000574289,0.000574289,0.000574289
4,15.8205,1.497,1.8605,1.3034,0.8125,0.12677,0.24012,0.11389,1.54743,2.68539,1.28313,0.000762607,0.000762607,0.000762607
5,18.6331,1.49395,1.62087,1.29975,0.772,0.23704,0.38923,0.16499,1.77232,2.46735,1.4514,0.000946964,0.000946964,0.000946964
6,21.436,1.56086,1.64207,1.35474,0.8837,0.21481,0.36347,0.18398,1.52345,2.39505,1.30411,0.00112736,0.00112736,0.00112736
7,24.1524,1.47827,1.58525,1.35213,0.3889,0.3,0.43016,0.1948,1.78919,2.14101,1.51015,0.00130379,0.00130379,0.00130379
8,27.2936,1.52252,1.49252,1.34707,0.39341,0.45227,0.38587,0.14189,2.06334,1.95423,1.71685,0.00132997,0.00132997,0.00132997
9,30.4398,1.47821,1.51452,1.36297,0.80445,0.37407,0.38844,0.1929,1.80469,1.87077,1.54753,0.00131582,0.00131582,0.00131582
10,33.2327,1.41584,1.45438,1.28918,0.49541,0.41492,0.47732,0.24903,1.69027,2.58286,1.38213,0.00130168,0.00130168,0.00130168
11,36.1473,1.3596,1.28054,1.24599,0.49116,0.51481,0.52432,0.24898,1.92384,2.70376,1.51086,0.00128753,0.00128753,0.00128753
12,38.9172,1.32151,1.23806,1.2536,0.51921,0.57647,0.55623,0.23703,2.01797,1.49776,1.60749,0.00127338,0.00127338,0.00127338
13,41.6207,1.38024,1.23876,1.27307,0.59169,0.42445,0.48208,0.16734,2.33478,1.96439,1.84965,0.00125923,0.00125923,0.00125923
14,44.3549,1.30371,1.18499,1.23929,0.86109,0.46472,0.49197,0.20022,2.10763,1.44616,1.69305,0.00124509,0.00124509,0.00124509
15,47.1031,1.27694,1.18934,1.21963,0.82024,0.47583,0.57127,0.32408,1.51224,1.23953,1.29073,0.00123094,0.00123094,0.00123094
16,49.8138,1.33727,1.20651,1.27976,0.91297,0.53809,0.57387,0.30743,1.62331,1.13763,1.36368,0.00121679,0.00121679,0.00121679
17,52.5489,1.24537,1.15316,1.19638,0.88841,0.57407,0.56159,0.26823,1.78337,1.16434,1.43328,0.00120265,0.00120265,0.00120265
